GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households,"v_CA21_3: Population percentage change, 2016 to 2021"
5350001,CT,1,6.8192,599,253,235,0.7
5350002,CT,2,3.3926,604,294,284,-2.6
5350003,CT,3,0.9455,457,279,265,-39
5350004,CT,4,0.3404,6306,3620,3276,-5.7
5350005,CT,5,0.3764,6957,4235,3720,8.3
5350006,CT,6,0.0129,119,1,1,
5350007.01,CT,7.01,0.1999,3402,1838,1653,5.1
5350007.02,CT,7.02,0.4346,4422,2639,2372,-7
5350008.01,CT,8.01,0.3092,8480,5998,5470,13
5350008.02,CT,8.02,1.9151,11591,7827,7022,16.6
5350009,CT,9,0.1032,520,176,170,-8.3
5350010.01,CT,10.01,0.2476,5611,3400,3184,3.4
5350010.02,CT,10.02,0.5382,7468,4713,4264,-3.5
5350011.01,CT,11.01,0.4611,9592,7391,6377,47.4
5350011.02,CT,11.02,0.2877,9746,7605,6571,52.9
5350011.03,CT,11.03,0.2315,6391,5157,4120,36.9
5350012.01,CT,12.01,0.4305,13554,8969,7893,16.3
5350012.03,CT,12.03,0.4664,8957,6005,5176,1
5350012.04,CT,12.04,0.2407,5688,3967,3483,16.1
5350013.01,CT,13.01,0.3431,6820,4891,4241,8.4
5350013.02,CT,13.02,0.4225,10439,7001,6175,28.5
5350014,CT,14,0.4727,2382,1663,1312,91.8
5350015,CT,15,0.286,4922,3688,3046,34.4
5350016,CT,16,0.6317,11144,7596,6845,10.3
5350017.01,CT,17.01,0.8026,4787,3196,2948,106
5350017.02,CT,17.02,0.5681,8710,5537,5143,56
5350018,CT,18,0.347,3633,2167,1988,47.9
5350019,CT,19,0.2489,3269,1456,1374,0.3
5350020,CT,20,0.7287,2298,1036,991,-3.8
5350021,CT,21,0.9119,5192,2847,2610,-0.1
5350022,CT,22,0.5546,3847,1582,1482,-0.9
5350023,CT,23,0.6863,3374,1506,1408,5.2
5350024,CT,24,0.7093,6891,3148,2939,0.1
5350025,CT,25,0.5284,3553,1737,1628,2.8
5350026,CT,26,0.7772,6409,3027,2738,-1.2
5350027,CT,27,0.4853,4405,1889,1756,0.3
5350028.01,CT,28.01,0.2058,1290,714,654,-7
5350028.02,CT,28.02,0.4633,5868,2925,2763,-5.3
5350029,CT,29,0.6766,6722,3110,2945,-3.8
5350030,CT,30,0.3807,6926,3637,3264,52.9
5350031,CT,31,0.2583,5871,3263,2847,-6.4
5350032,CT,32,0.4197,6042,4010,3321,12.7
5350033,CT,33,0.3196,5515,3557,3123,9.4
5350034.01,CT,34.01,0.1245,5337,4071,3159,17.2
5350034.02,CT,34.02,0.3982,7992,5993,4896,55.3
5350035,CT,35,0.6627,10506,7669,6149,6.4
5350036,CT,36,0.3834,5685,3909,3398,3.6
5350037,CT,37,0.451,4802,2939,2359,6.9
5350038,CT,38,0.3662,3605,2046,1722,-4.4
5350039,CT,39,0.3177,4505,2279,2043,7.5
5350040,CT,40,0.3687,4274,1930,1739,-6.4
5350041,CT,41,0.3171,3324,1632,1480,-3.7
5350042,CT,42,0.4899,4423,2179,1960,-3.2
5350043,CT,43,0.5539,3670,1874,1662,-7.4
5350044.01,CT,44.01,0.3972,5016,2629,2414,-1.1
5350044.02,CT,44.02,0.0932,4255,2994,2702,13.3
5350045,CT,45,0.2951,3247,1601,1456,-6
5350046,CT,46,0.4227,3151,1474,1318,-4
5350047.02,CT,47.02,0.287,3511,2046,1775,-7.4
5350047.03,CT,47.03,0.1156,1014,575,549,44.2
5350047.04,CT,47.04,0.2738,2773,1198,1126,-2.6
5350048,CT,48,0.3349,3353,1630,1474,-5.7
5350049,CT,49,0.4652,3351,1477,1365,-8.5
