id,name,variablename,Chow,Bailão,Saunders,Chow plus Bailao,percentChow,percentBailao
1,Etobicoke North,Chow,4972,5748,2744,10720,0.46380597,0.53619403
2,Etobicoke Centre,Chow,8049,16943,5166,24992,0.32206306,0.67793694
3,Etobicoke-Lakeshore,Chow,12424,16967,4306,29391,0.422714436,0.577285564
4,Parkdale-High Park,Chow,19569,10181,1892,29750,0.657781513,0.342218487
5,York South-Weston,Chow,7399,9826,2470,17225,0.429550073,0.570449927
6,York Centre,Chow,5444,9411,2557,14855,0.366475934,0.633524066
7,Humber River-Black Creek,Chow,4485,4487,1710,8972,0.499888542,0.500111458
8,Eglinton-Lawrence,Chow,8183,16121,2932,24304,0.336693548,0.663306452
9,Davenport,Chow,17031,10312,1240,27343,0.622865084,0.377134916
10,Spadina-Fort York,Chow,16688,8206,2086,24894,0.670362336,0.329637664
11,University-Rosedale,Chow,16307,10188,1883,26495,0.615474618,0.384525382
12,Toronto-St. Paul's,Chow,13468,12165,2232,25633,0.525416455,0.474583545
13,Toronto Centre,Chow,17142,6498,1545,23640,0.725126904,0.274873096
14,Toronto-Danforth,Chow,19560,9180,1750,28740,0.680584551,0.319415449
15,Don Valley West,Chow,8067,13299,3155,21366,0.377562482,0.622437518
16,Don Valley East,Chow,7358,7373,2155,14731,0.49949087,0.50050913
17,Don Valley North,Chow,8381,8625,2878,17006,0.492826061,0.507173939
18,Willowdale,Chow,8293,8244,2680,16537,0.501481526,0.498518474
19,Beaches-East York,Chow,15910,10429,2099,26339,0.60404723,0.39595277
20,Scarborough Southwest,Chow,9981,8559,2762,18540,0.538349515,0.461650485
21,Scarborough Centre,Chow,7970,7062,2576,15032,0.530202235,0.469797765
22,Scarborough-Agincourt,Chow,9065,6595,2544,15660,0.578863346,0.421136654
23,Scarborough North,Chow,8940,4482,2013,13422,0.66607063,0.33392937
24,Scarborough-Guildwood,Chow,6448,5997,2088,12445,0.518119727,0.481880273
25,Scarborough-Rouge Park,Chow,8238,8277,2704,16515,0.498819255,0.501180745
