id,name,variablename,variable,votes
1,Etobicoke North,Chow,27.9,4972
2,Etobicoke Centre,Chow,21.2,8049
3,Etobicoke-Lakeshore,Chow,29.4,12424
4,Parkdale-High Park,Chow,50.0,19569
5,York South-Weston,Chow,29.6,7399
6,York Centre,Chow,24.0,5444
7,Humber River-Black Creek,Chow,28.1,4485
8,Eglinton-Lawrence,Chow,23.8,8183
9,Davenport,Chow,49.8,17031
10,Spadina-Fort York,Chow,49.7,16688
11,University-Rosedale,Chow,46.9,16307
12,Toronto-St. Paul's,Chow,33.5,13468
13,Toronto Centre,Chow,54.6,17142
14,Toronto-Danforth,Chow,51.9,19560
15,Don Valley West,Chow,26.1,8067
16,Don Valley East,Chow,33.5,7358
17,Don Valley North,Chow,33.8,8381
18,Willowdale,Chow,34.9,8293
19,Beaches-East York,Chow,43.1,15910
20,Scarborough Southwest,Chow,35.7,9981
21,Scarborough Centre,Chow,34.6,7970
22,Scarborough-Agincourt,Chow,39.9,9065
23,Scarborough North,Chow,47.2,8940
24,Scarborough-Guildwood,Chow,30.5,6448
25,Scarborough-Rouge Park,Chow,32.4,8238
1,Etobicoke North,Bailão,32.3,5748
2,Etobicoke Centre,Bailão,44.7,16943
3,Etobicoke-Lakeshore,Bailão,40.2,16967
4,Parkdale-High Park,Bailão,26.0,10181
5,York South-Weston,Bailão,39.3,9826
6,York Centre,Bailão,41.5,9411
7,Humber River-Black Creek,Bailão,28.2,4487
8,Eglinton-Lawrence,Bailão,46.8,16121
9,Davenport,Bailão,30.1,10312
10,Spadina-Fort York,Bailão,24.4,8206
11,University-Rosedale,Bailão,29.3,10188
12,Toronto-St. Paul's,Bailão,30.3,12165
13,Toronto Centre,Bailão,20.7,6498
14,Toronto-Danforth,Bailão,24.4,9180
15,Don Valley West,Bailão,43.1,13299
16,Don Valley East,Bailão,33.6,7373
17,Don Valley North,Bailão,34.8,8625
18,Willowdale,Bailão,34.7,8244
19,Beaches-East York,Bailão,28.2,10429
20,Scarborough Southwest,Bailão,30.6,8559
21,Scarborough Centre,Bailão,30.6,7062
22,Scarborough-Agincourt,Bailão,29.0,6595
23,Scarborough North,Bailão,23.6,4482
24,Scarborough-Guildwood,Bailão,28.4,5997
25,Scarborough-Rouge Park,Bailão,32.5,8277
1,Etobicoke North,Saunders,15.4,2744
2,Etobicoke Centre,Saunders,13.6,5166
3,Etobicoke-Lakeshore,Saunders,10.2,4306
4,Parkdale-High Park,Saunders,4.8,1892
5,York South-Weston,Saunders,9.9,2470
6,York Centre,Saunders,11.3,2557
7,Humber River-Black Creek,Saunders,10.7,1710
8,Eglinton-Lawrence,Saunders,8.5,2932
9,Davenport,Saunders,3.6,1240
10,Spadina-Fort York,Saunders,6.2,2086
11,University-Rosedale,Saunders,5.4,1883
12,Toronto-St. Paul's,Saunders,5.6,2232
13,Toronto Centre,Saunders,4.9,1545
14,Toronto-Danforth,Saunders,4.6,1750
15,Don Valley West,Saunders,10.2,3155
16,Don Valley East,Saunders,9.8,2155
17,Don Valley North,Saunders,11.6,2878
18,Willowdale,Saunders,11.3,2680
19,Beaches-East York,Saunders,5.7,2099
20,Scarborough Southwest,Saunders,9.9,2762
21,Scarborough Centre,Saunders,11.2,2576
22,Scarborough-Agincourt,Saunders,11.2,2544
23,Scarborough North,Saunders,10.6,2013
24,Scarborough-Guildwood,Saunders,9.9,2088
25,Scarborough-Rouge Park,Saunders,10.6,2704
