GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_4818: Total - Generation status for the population in private households,v_CA21_4821: First generation,v_CA21_4824: Second generation,v_CA21_4827: Third generation or more,v_CA21_914: Income statistics for private households,v_CA21_917: Income statistics for one-person private households,v_CA21_920: Income statistics for two-or-more-persons private households,v_CA21_905: Income statistics for private households,"v_CA21_1: Population, 2021",v_CA21_6: Population density per square kilometre
5350001.00,CT,0001.00,6.8192,599,253,235,590,160,200,230,245,65,180,235,599,87.8
5350002.00,CT,0002.00,3.3926,604,294,284,605,150,140,310,285,95,190,285,604,178
5350003.00,CT,0003.00,0.9455,457,279,265,525,255,160,110,270,110,155,265,457,483.3
5350004.00,CT,0004.00,0.3404,6306,3620,3276,5905,3025,1365,1520,3270,1720,1545,3280,6306,18525.3
5350005.00,CT,0005.00,0.3764,6957,4235,3720,6730,2965,1785,1980,3720,1845,1875,3720,6957,18483
5350006.00,CT,0006.00,0.0129,119,1,1,,,,,,,,,119,9224.8
5350007.01,CT,0007.01,0.1999,3402,1838,1653,3155,1495,780,880,1720,865,855,1655,3402,17018.5
5350007.02,CT,0007.02,0.4346,4422,2639,2372,4185,2250,970,965,2305,1190,1120,2370,4422,10174.9
5350008.01,CT,0008.01,0.3092,8480,5998,5470,8375,3315,2410,2650,5390,2945,2450,5470,8480,27425.6
5350008.02,CT,0008.02,1.9151,11591,7827,7022,11545,5400,3235,2905,7020,3685,3335,7025,11591,6052.4
5350009.00,CT,0009.00,0.1032,520,176,170,285,140,85,55,180,95,80,170,520,5038.8
5350010.01,CT,0010.01,0.2476,5611,3400,3184,5655,1855,1815,1985,3255,1550,1700,3185,5611,22661.6
5350010.02,CT,0010.02,0.5382,7468,4713,4264,7235,2670,2180,2380,4265,2260,2005,4260,7468,13875.9
5350011.01,CT,0011.01,0.4611,9592,7391,6377,9500,3600,2860,3045,6385,3945,2440,6375,9592,20802.4
5350011.02,CT,0011.02,0.2877,9746,7605,6571,9840,5250,2350,2240,6690,4145,2550,6570,9746,33875.6
5350011.03,CT,0011.03,0.2315,6391,5157,4120,6230,3445,1395,1390,3995,2325,1670,4120,6391,27606.9
5350012.01,CT,0012.01,0.4305,13554,8969,7893,13530,7905,3200,2420,7895,3905,3990,7890,13554,31484.3
5350012.03,CT,0012.03,0.4664,8957,6005,5176,9010,5225,2035,1745,5200,2435,2760,5175,8957,19204.5
5350012.04,CT,0012.04,0.2407,5688,3967,3483,5595,3225,1165,1205,3460,1760,1695,3485,5688,23631.1
5350013.01,CT,0013.01,0.3431,6820,4891,4241,6810,3335,1820,1660,4285,2425,1855,4240,6820,19877.6
5350013.02,CT,0013.02,0.4225,10439,7001,6175,10410,6155,2270,1985,6130,3020,3115,6175,10439,24707.7
