GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_907: Median after-tax income of household in 2020 ($),v_CA21_906: Median total income of household in 2020 ($)
5350001.00,CT,0001.00,6.8192,599,253,235,111000,137000
5350002.00,CT,0002.00,3.3926,604,294,284,76000,85000
5350003.00,CT,0003.00,0.9455,457,279,265,73500,89000
5350004.00,CT,0004.00,0.3404,6306,3620,3276,45600,50000
5350005.00,CT,0005.00,0.3764,6957,4235,3720,58400,66000
5350006.00,CT,0006.00,0.0129,119,1,1,,
5350007.01,CT,0007.01,0.1999,3402,1838,1653,51200,57200
5350007.02,CT,0007.02,0.4346,4422,2639,2372,48000,53600
5350008.01,CT,0008.01,0.3092,8480,5998,5470,80000,97000
5350008.02,CT,0008.02,1.9151,11591,7827,7022,75500,90000
5350009.00,CT,0009.00,0.1032,520,176,170,42400,45200
5350010.01,CT,0010.01,0.2476,5611,3400,3184,89000,110000
5350010.02,CT,0010.02,0.5382,7468,4713,4264,81000,97000
5350011.01,CT,0011.01,0.4611,9592,7391,6377,79500,97000
5350011.02,CT,0011.02,0.2877,9746,7605,6571,73500,88000
5350011.03,CT,0011.03,0.2315,6391,5157,4120,71000,84000
5350012.01,CT,0012.01,0.4305,13554,8969,7893,71000,84000
5350012.03,CT,0012.03,0.4664,8957,6005,5176,81000,98000
5350012.04,CT,0012.04,0.2407,5688,3967,3483,79000,95000
5350013.01,CT,0013.01,0.3431,6820,4891,4241,76500,91000
5350013.02,CT,0013.02,0.4225,10439,7001,6175,83000,100000
5350014.00,CT,0014.00,0.4727,2382,1663,1312,77000,92000
5350015.00,CT,0015.00,0.286,4922,3688,3046,79500,94000
5350016.00,CT,0016.00,0.6317,11144,7596,6845,79000,95000
5350017.01,CT,0017.01,0.8026,4787,3196,2948,78000,94000
5350017.02,CT,0017.02,0.5681,8710,5537,5143,60800,69500
5350018.00,CT,0018.00,0.347,3633,2167,1988,87000,105000
5350019.00,CT,0019.00,0.2489,3269,1456,1374,71000,80000
5350020.00,CT,0020.00,0.7287,2298,1036,991,118000,147000
5350021.00,CT,0021.00,0.9119,5192,2847,2610,75000,89000
5350022.00,CT,0022.00,0.5546,3847,1582,1482,122000,149000
