id,neighbourhood,variable,treeCover,,,
129,Agincourt North,31.987005,17,,34.280613,54
128,Agincourt South-Malvern West,32.172485,18,,23.81342,9
20,Alderwood,32.208687,21,,,
95,Annex,31.877897,28,,,
42,Banbury-Don Mills,29.969694,35,,,
34,Bathurst Manor,30.681902,33,,,
76,Bay Street Corridor,31.279636,9,,,
52,Bayview Village,30.37662,41,,,
49,Bayview Woods-Steeles,29.673628,41,,,
39,Bedford Park-Nortown,30.458105,34,,,
112,Beechborough-Greenbrook,32.49742,21,,,
127,Bendale,31.670893,25,,,
122,Birchcliffe-Cliffside,26.118546,36,,,
24,Black Creek,31.701982,15,,,
69,Blake-Jones,32.87901,26,,,
108,Briar Hill-Belgravia,33.76122,10,,,
41,Bridle Path-Sunnybrook-York Mills,29.622843,54,,,
57,Broadview North,30.280462,39,,,
30,Brookhaven-Amesbury,32.47322,20,,,
71,Cabbagetown-South St. James Town,30.562859,45,,,
109,Caledonia-Fairbank,33.07506,22,,,
96,Casa Loma,31.152893,42,,,
133,Centennial Scarborough,29.470535,36,,,
75,Church-Yonge Corridor,31.3968,11,,,
120,Clairlea-Birchmount,31.629587,17,,,
33,Clanton Park,31.654762,19,,,
123,Cliffcrest,26.975397,37,,,
92,Corso Italia-Davenport,33.44139,20,,,
66,Danforth,33.046436,24,,,
59,Danforth East York,32.95113,20,,,
47,Don Valley Village,31.096447,26,,,
126,Dorset Park,32.468258,11,,,
93,Dovercourt-Wallace Emerson-Junction,33.858677,14,,,
26,Downsview-Roding-CFB,32.116966,12,,,
83,Dufferin Grove,34.280613,19,,,
62,East End-Danforth,31.567137,28,,,
9,Edenbridge-Humber Valley,30.163065,45,,,
138,Eglinton East,31.387302,22,,,
5,Elms-Old Rexdale,30.219288,30,,,
32,Englemount-Lawrence,32.080643,22,,,
11,Eringate-Centennial-West Deane,32.188183,24,,,
13,Etobicoke West Mall,32.47745,21,,,
44,Flemingdon Park,29.608559,37,,,
102,Forest Hill North,31.497736,36,,,
101,Forest Hill South,30.944975,41,,,
25,Glenfield-Jane Heights,31.54631,17,,,
65,Greenwood-Coxwell,32.379025,29,,,
140,Guildwood,24.009678,43,,,
53,Henry Farm,31.33482,20,,,
88,High Park North,31.970217,32,,,
87,High Park-Swansea,29.377575,49,,,
134,Highland Creek,30.234499,29,,,
48,Hillcrest Village,31.42848,25,,,
8,Humber Heights-Westmount,31.089836,38,,,
21,Humber Summit,32.323277,11,,,
22,Humbermede,31.547121,19,,,
106,Humewood-Cedarvale,31.837147,35,,,
125,Ionview,32.031155,22,,,
14,Islington-City Centre West,32.697903,17,,,
90,Junction Area,33.555527,16,,,
110,Keelesdale-Eglinton West,33.05496,14,,,
124,Kennedy Park,31.652985,23,,,
78,Kensington-Chinatown,32.829147,15,,,
6,Kingsview Village-The Westway,31.732706,26,,,
15,Kingsway South,30.406578,47,,,
117,L'Amoreaux,31.662699,22,,,
114,Lambton Baby Point,30.774565,49,,,
38,Lansing-Westgate,29.713102,46,,,
105,Lawrence Park North,30.684849,34,,,
103,Lawrence Park South,30.797155,44,,,
56,Leaside-Bennington,30.339905,43,,,
84,Little Portugal,33.842365,14,,,
19,Long Branch,27.378176,31,,,
132,Malvern,31.286808,20,,,
29,Maple Leaf,32.339874,23,,,
12,Markland Wood,31.757395,32,,,
130,Milliken,31.928835,9,,,
17,Mimico (includes Humber Bay Shores),29.624662,16,,,
135,Morningside,29.895731,43,,,
73,Moss Park,32.382923,19,,,
115,Mount Dennis,31.343597,30,,,
2,Mount Olive-Silverstone-Jamestown,31.081139,24,,,
99,Mount Pleasant East,30.526253,44,,,
104,Mount Pleasant West,30.943419,22,,,
18,New Toronto,29.292217,15,,,
50,Newtonbrook East,30.8829,32,,,
36,Newtonbrook West,31.429602,25,,,
82,Niagara,29.551983,12,,,
68,North Riverdale,31.263264,33,,,
74,North St. James Town,30.856356,16,,,
54,O'Connor-Parkview,30.335093,40,,,
121,Oakridge,31.122847,31,,,
107,Oakwood Village,33.27825,16,,,
58,Old East York,31.021465,33,,,
80,Palmerston-Little Italy,33.69883,23,,,
45,Parkwoods-Donalda,31.027067,34,,,
23,Pelmo Park-Humberlea,31.23677,21,,,
67,Playter Estates-Danforth,31.493656,32,,,
46,Pleasant View,31.869669,20,,,
10,Princess-Rosethorn,30.97368,38,,,
72,Regent Park,32.374508,14,,,
4,Rexdale-Kipling,31.794058,27,,,
111,Rockcliffe-Smythe,31.706951,26,,,
86,Roncesvalles,33.45594,25,,,
98,Rosedale-Moore Park,29.602766,52,,,
131,Rouge,28.974771,35,,,
89,Runnymede-Bloor West Village,31.854939,31,,,
28,Rustic,32.046997,18,,,
139,Scarborough Village,28.627707,38,,,
85,South Parkdale,26.686712,19,,,
70,South Riverdale,23.81342,16,,,
40,St.Andrew-Windfields,30.716463,37,,,
116,Steeles,32.048424,16,,,
16,Stonegate-Queensway,31.34332,34,,,
118,Tam O'Shanter-Sullivan,31.470118,24,,,
61,Taylor-Massey,30.644848,35,,,
63,The Beaches,27.83496,38,,,
3,Thistletown-Beaumond Heights,30.021584,40,,,
55,Thorncliffe Park,30.865982,26,,,
81,Trinity-Bellwoods,34.178837,20,,,
79,University,32.59077,21,,,
43,Victoria Village,31.088167,28,,,
77,Waterfront Communities-The Island,24.42447,13,,,
136,West Hill,27.76272,37,,,
1,West Humber-Clairville,31.981667,9,,,
35,Westminster-Branson,30.36035,32,,,
113,Weston,31.530367,25,,,
91,Weston-Pelham Park,33.848434,11,,,
119,Wexford/Maryvale,32.4198,15,,,
51,Willowdale East,30.983873,29,,,
37,Willowdale West,30.80218,29,,,
7,Willowridge-Martingrove-Richview,31.862976,25,,,
137,Woburn,30.794075,26,,,
64,Woodbine Corridor,32.173847,38,,,
60,Woodbine-Lumsden,31.469893,28,,,
94,Wychwood,32.548683,27,,,
100,Yonge-Eglinton,31.297792,30,,,
97,Yonge-St.Clair,30.841814,33,,,
27,York University Heights,31.924809,13,,,
31,Yorkdale-Glen Park,33.16084,11,,,
